Name,ESI,Planetenklasse,Masse,Radius,Flux,Teq,Umlaufzeit,Entfernung,Status
Erde,"1,00",G-Warm Terran,"1,0","1,0","1,0",255,365,0,no Exoplanet
Proxima b,"0,87",M-Warm Terran,"≥ 1,27","0,8 - 1,1 - 1,4","0,70",227,"11,2",4,confirmed
Trappist-1 e,"0,86",M-Warm Terran,"0,6","0,9","0,67",230,"6,1",39,confirmed
Gliese 667Cc,"0,84",M-Warm Terran,"≥ 3,8","1,1 – 1,5 – 2,0","0,88",247,"28,1",22,confirmed
Kepler-442b,"0,84",K-Warm Terran,"8,2 – 2,3 – 1,0","1,3","0,70",233,"112,3",1115,confirmed
Kepler-1229b,"0,73",M-Warm Terran,"9,8 - 2,7 - 1,2","1,4","0,49",213,"86,8",769,confirmed
Trappist-1 f,"0,68",M-Warm Terran,"0,7","1,0","0,38",200,"9,2",39,confirmed
Kapteyn b,"0,67",M-Warm Terran,"≥ 4,8","1,2 – 1,6 – 2,1","0,43",205,"48,6",13,unconfirmed
Kepler-62f,"0,67",K-Warm Terran,"10,2 - 2,8 - 1,2","1,4","0,39",201,"267,3",1200,confirmed
Kepler-186f,"0,61",M-Warm Terran,"4,7 – 1,5 – 0,6","1,2","0,29",188,"129,9",490,confirmed
Gliese 667Cf,"0,77",M-Warm Terran,"≥ 2,7","1,0 – 1,4 – 1,8","0,56",221,"39,0",22,unconfirmed
Gliese 667Ce,"0,60",M-Warm Terran,"≥ 2,7","1,0 – 1,4 – 1,8","0,30",189,"62,2",22,unconfirmed
Trappist-1 g,"0,58",M-Warm Terran,"1,3","1,1","0,26",182,"12,4",39,confirmed
Trappist-1 d,"0,90",M-Warm Terran,"0,4","0,8","1,15",264,"4,0",39,confirmed
GJ 3323 b,"0,89",M-Warm Terran,"≥ 2,0","0,9 - 1,3 - 1,6","1,21",264,"5,4",17,confirmed
Kepler-438b,"0,88",M-Warm Terran,"4,0 – 1,3 – 0,6","1,1","1,38",276,"35,2",473,confirmed
GJ 273 b,"0,86",M-Warm Terran,"≥ 2,9","1,0 - 1,4 - 1,8","1,22",267,"18,6",12,confirmed
Kepler-296e,"0,85",M-Warm Terran,"12,5 – 3,3 – 1,4","1,5","1,22",267,"34,1",1692,confirmed
Kepler-62e,"0,83",K-Warm Superterran,"18,7 – 4,5 – 1,9","1,6","1,10",261,"122,4",1200,confirmed
Kepler-452b,"0,83",G-Warm Superterran,"19,8 – 4,7 – 1,9","1,6","1,11",261,"384,8",1402,confirmed
K2-72e,"0,82",M-Warm Terran,"9,8 - 2,7 - 1,2","1,4","1,46",280,"24,2",181,confirmed
Gliese 832c,"0,81",M-Warm Superterran,"≥ 5,4","1,2 – 1,7 – 2,2","1,00",253,"35,7",16,confirmed
K2-3d,"0,80",M-Warm Superterran,"11,1","1,5","1,51",282,"44,6",147,confirmed
Kepler-1544b,"0,80",K-Warm Superterran,"31,7 - 6,6 - 2,6","1,8","0,90",248,"168,8",1138,confirmed
Kepler-283c,"0,79",K-Warm Superterran,"35,3 – 7,0 – 2,8","1,8","0,90",248,"92,7",1741,confirmed
Tau Ceti e,"0,78",G-Warm Terran,"≥ 4,3","1,1 – 1,6 – 2,0","1,51",282,"168,1",12,unconfirmed
Kepler-1410b,"0,78",K-Warm Superterran,"31,7 - 6,6 - 2,6","1,8","1,34",274,"60,9",1198,confirmed
Gliese 180c,"0,77",M-Warm Superterran,"≥ 6,4","1,3 – 1,8 – 2,3","0,79",239,"24,3",38,unconfirmed
Kepler-1638b,"0,76",G-Warm Superterran,"42,7 - 7,9 - 3,1","1,9","1,39",276,"259,3",2866,confirmed
Kepler-440b,"0,75",M-Warm Superterran,"41,2 – 7,7 – 3,1","1,9","1,43",273,"101,1",851,confirmed
Gliese 180b,"0,75",M-Warm Superterran,"≥ 8,3","1,3 – 1,9 – 2,4","1,23",268,"17,4",38,unconfirmed
Kepler-705b,"0,74",M-Warm Superterran," ? - 12,7 - 4,8","2,1","0,83",243,"56,1",818,confirmed
HD 40307g,"0,74",K-Warm Superterran,"≥ 7,1","1,3 – 1,8 – 2,3","0,68",227,"197,8",42,confirmed
Gliese 163c,"0,73",M-Warm Superterran,"≥ 7,3","1,3 – 1,8 – 2,4","0,66",230,"25,6",49,confirmed
Kepler-61b,"0,73",K-Warm Superterran," ? – 13,8 – 5,2","2,2","1,27",267,"59,9",1063,confirmed
K2-18b,"0,73",M-Warm Superterran," ? – 16,5 – 6,0","2,2","0,94",251,"32,9",111,confirmed
Kepler-1606b,"0,73",G-Warm Superterran," ? - 11,9 - 4,5","2,1","1,41",277,"196,4",2869,confirmed
Kepler-1090b,"0,72",G-Warm Superterran," ? - 16,8 - 6,1","2,3","1,20",267,"198,7",2289,confirmed
Kepler-443b,"0,71",K-Warm Superterran," ? – 19,5 – 7,0","2,3","0,89",247,"177,7",2540,confirmed
Kepler-22b,"0,71",G-Warm Superterran," ? – 20,4 – 7,2","2,4","1,11",261,"289,9",619,confirmed
