date,name,sex,country_killed,Local_Foreign,Type_death
4-May-14,Al-Moutaz Bellah Ibrahim,Male,Syria,Local,Murder
25-Apr-14,Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Syria,Local,Crossfire/Combat-Related
31-Mar-14,Bilal Ahmed Bilal,Male,Syria,Local,Dangerous Assignment
28-Mar-14,Mayada Ashraf,Female,Egypt,Local,Crossfire/Combat-Related
10-Mar-14,Muthanna Abdel Hussein,Male,Iraq,Local,Dangerous Assignment
10-Mar-14,Khaled Abdel Thamer,Male,Iraq,Local,Dangerous Assignment
9-Mar-14,Ali Mustafa,Male,Syria,Foreign,Crossfire/Combat-Related
8-Mar-14,Omar Abdul Qader,Male,Syria,Local,Crossfire/Combat-Related
20-Feb-14,Turad Mohamed al-Zahouri,Male,Syria,Local,Crossfire/Combat-Related
20-Jan-14,Firas Mohammed Attiyah,Male,Iraq,Local,Dangerous Assignment
23-Dec-13,Jamal Abdul-Nasser Sami,Male,Iraq,Local,Murder
23-Dec-13,Raad Yassin Al-Baddi,Male,Iraq,Local,Murder
23-Dec-13,Wassan Al-Azzawi,Female,Iraq,Local,Murder
20-Dec-13,Molhem Barakat,Male,Syria,Local,Crossfire/Combat-Related
15-Dec-13,Nawras al-Nuaimi,Female,Iraq,Local,Murder
5-Dec-13,Kawa Garmyane,Male,Iraq,Local,Murder
4-Dec-13,Yasser Faisal al-Jumaili,Male,Syria,Foreign,Murder
27-Nov-13,Wadih Sa'ad al-Hamdani,Male,Iraq,Local,Dangerous Assignment
24-Nov-13,Mohamed Yamen Naddaf,Male,Syria,Local,Crossfire/Combat-Related
24-Nov-13,Alaa Edward Butros,Male,Iraq,Local,Murder
19-Nov-13,Mohamed Ahmed Taysir Bellou,Male,Syria,Local,Crossfire/Combat-Related
29-Oct-13,Mohammad Saeed,Male,Syria,Local,Murder
24-Oct-13,Bashar al-Nuaimi,Male,Iraq,Local,Murder
5-Oct-13,Mohammed Ghanem,Male,Iraq,Local,Murder
5-Oct-13,Mohammed Karim al-Badrani,Male,Iraq,Local,Murder
29-Sep-13,Nour al-Din Al-Hafiri,Male,Syria,Local,Crossfire/Combat-Related
5-Sep-13,Abdel Aziz Mahmoud Hasoun,Male,Syria,Local,Crossfire/Combat-Related
20-Aug-13,Muhammad Hassan Al-Musalama,Male,Syria,Local,Crossfire/Combat-Related
19-Aug-13,Tamer Abdel Raouf,Male,Egypt,Local,Dangerous Assignment
16-Aug-13,Shahir al-Muaddamani,Male,Syria,Local,Crossfire/Combat-Related
14-Aug-13,Mosaab al-Shami,Male,Egypt,Local,Dangerous Assignment
14-Aug-13,Ahmed Abdel Gawad,Male,Egypt,Local,Dangerous Assignment
14-Aug-13,Mick Deane,Male,Egypt,Foreign,Dangerous Assignment
14-Aug-13,Habiba Ahmed Abd Elaziz,Female,Egypt,Local,Crossfire/Combat-Related
27-Jul-13,Muhammed Tariq Jadua,Male,Syria,Local,Crossfire/Combat-Related
8-Jul-13,Ahmed Assem el-Senousy,Male,Egypt,Local,Dangerous Assignment
5-Jul-13,Fidaa al-Baali,Male,Syria,Local,Crossfire/Combat-Related
29-Jun-13,Salah al-Din Hassan,Male,Egypt,Local,Dangerous Assignment
27-May-13,Yara Abbas,Female,Syria,Local,Crossfire/Combat-Related
24-Apr-13,Youssef Younis,Male,Syria,Local,Crossfire/Combat-Related
31-Mar-13,Abdul Raheem Kour Hassan,Male,Syria,Local,Dangerous Assignment
29-Mar-13,Amer Diab,Male,Syria,Local,Crossfire/Combat-Related
14-Mar-13,Mahmoud Natouf,Male,Syria,Local,Crossfire/Combat-Related
10-Mar-13,Ghaith Abd al-Jawad,Male,Syria,Local,Crossfire/Combat-Related
10-Mar-13,Amr Badir al-Deen Junaid,Male,Syria,Local,Crossfire/Combat-Related
