date,name,sex,country_killed,Local_Foreign,Type_death
3-Apr-94,Lissy Schmidt,Female,Iraq,Foreign,Murder
12-Mar-94,Nazim Babaoglu,Male,Turkey,Local,Unknown
7-Aug-93,Aysel Malkac,Female,Turkey,Local,Murder
28-Jul-93,Ferhat Tepe,Male,Turkey,Local,Murder
26-Jul-93,Ahmed Haidar,Male,Lebanon,Local,Crossfire/Combat-Related
25-Feb-93,Kemal Kilic,Male,Turkey,Local,Murder
27-Jan-93,Ugur Mumcu,Male,Turkey,Local,Murder
20-Nov-92,Namik Taranci,Male,Turkey,Local,Murder
20-Sep-92,Musa Anter,Male,Turkey,Local,Murder
18-Aug-92,Gabrielle Marian Hulsen,Female,Lebanon,Foreign,Murder
9-Aug-92,Huseyin Deniz,Male,Turkey,Local,Murder
31-Jul-92,Yahya Orhan,Male,Turkey,Local,Murder
29-Jul-92,Cetin Abayay,Male,Turkey,Local,Murder
8-Jun-92,Hafiz Akdemir,Male,Turkey,Local,Murder
8-Jun-92,Farag Fouda,Male,Egypt,Local,Murder
23-Mar-92,Izzet Kezer,Male,Turkey,Local,Dangerous Assignment
24-Feb-92,Cengiz Altun,Male,Turkey,Local,Murder
9-Feb-92,Halit Gungen,Male,Turkey,Local,Murder
15-Jan-92,Mustafa Jeha,Male,Lebanon,Local,Murder
20-Aug-16,Ali Ghani,Male,Iraq,Local,Crossfire/Combat-Related
30-Jun-16,Mahmoud Shabaan al-Haj Hadhir,Unknown,Syria,,
20-Apr-15,Monir Aklan,Unknown,Yemen,,
20-Apr-15,Hazzam Mohamed Zeid,Unknown,Yemen,,
14-Oct-14,Kadri Ba?du,Unknown,Turkey,,
13-Aug-14,Ali Abu Afash,Unknown,Israel and the OPT,,
30-Jul-14,Mohammed Nour al-Din al-Deiri,Unknown,Israel and the OPT,,
9-Jul-14,Hamid Shihab,Unknown,Israel and the OPT,,
23-Dec-13,Mohammed Abdul-Hameed,Unknown,Iraq,,
23-Dec-13,Ahmed Khattab Omar,Unknown,Iraq,,
26-Dec-12,Abu Yezen al-Hamoui,Unknown,Syria,,
22-Oct-11,Fuad al-Shamri,Unknown,Yemen,,
26-Jul-10,Amira Hatem,Unknown,Iraq,,
26-Jul-10,Mohamed Abd al-Kareem Hadi al-Bayati,Unknown,Iraq,,
26-Jul-10,Aysar Mahmoud Hamid Zankana,Unknown,Iraq,,
13-Sep-08,Qaydar Sulaiman,Unknown,Iraq,,
29-Jan-08,Alaa Aasi,Unknown,Iraq,,
22-Oct-07,Abdullah [full name unavailable],Unknown,Iraq,,
14-Oct-07, Khaled Mohammad Nofan,Unknown,Iraq,,
14-Oct-07,Jassem Mohammad Nofan,Unknown,Iraq,,
14-Oct-07,Ziad Tarek al-Dibo,Unknown,Iraq,,
12-Jul-07,Saeed Chmagh,Unknown,Iraq,,
6-Jul-07,Ali Watan Rozouk al-Hassani,Unknown,Iraq,,
14-May-07,Mohammad Matar Abdo,Unknown,Israel and the OPT,,
7-May-07,Imad Abdul-Razzaq al-Obaid,Unknown,Iraq,,
3-May-07,Adel al-Badri,Unknown,Iraq,,
6-Apr-07,Hussein Nizar,Unknown,Iraq,,
7-Feb-07,Azhar Abdullah al-Maliki ,Unknown,Iraq,,
7-Feb-07, Sabah Salman,Unknown,Iraq,,
7-Feb-07,Nabras Mohammed Hadi,Unknown,Iraq,,
29-Oct-06,Anis Qassem,Unknown,Iraq,,
13-Oct-06,Ali Hlayel,Unknown,Iraq,,
12-Oct-06,Maher,Unknown,Iraq,,
12-Oct-06,Sami Nasrallahal-Shimari ,Unknown,Iraq,,
12-Oct-06,Unidentified,Unknown,Iraq,,
12-Oct-06,Hassan [full name unavailable],Unknown,Iraq,,
12-Oct-06, Ahmad [full name unavailable],Unknown,Iraq,,
12-Oct-06,Ali Jabber,Unknown,Iraq,,
4-Oct-06,Jassem Hamad Ibrahim,Unknown,Iraq,,
27-Aug-06,Unidentified,Unknown,Iraq,,
22-Jul-06,Suleiman al-Chidiac,Unknown,Lebanon,,
8-May-06,Muazaz Ahmed Barood,Unknown,Iraq,,
7-May-06,Isma'il Muhammad Khalal,Unknown,Iraq,,
11-Mar-06,Anwar Turki,Unknown,Iraq,,
17-Feb-06,Mohammad Siddik,Unknown,Iraq,,
7-Jan-06,Allan Enwiyah,Unknown,Iraq,,
21-Sep-05,Ahlam Youssef,Unknown,Iraq,,
10-Mar-05,Laiq Ibrahim Nowruz al-Kakaie,Unknown,Iraq,,
25-Feb-05, Unidentified,Unknown,Iraq,,
7-Oct-04,Ahmed Jassem,Unknown,Iraq,,
2-Sep-04,Ismail Taher Mohsin,Unknown,Iraq,,
28-Aug-04,Unidentified ,Unknown,Iraq,,
29-May-04,Mahmood Daoud,Unknown,Iraq,,
29-May-04,Samya Abdel Jabar,Unknown,Iraq,,
27-May-04,Mohamed Najmedin,Unknown,Iraq,,
19-Apr-04,Hussein Saleh,Unknown,Iraq,,
26-Mar-04,Omar Kamal,Unknown,Iraq,,
18-Mar-04,Muhammad Ahmad Sarham,Unknown,Iraq,,
18-Mar-04,Najeed Rashid,Unknown,Iraq,,
5-Mar-04,Selwan Abdelghani Medhi al-Niem,Unknown,Iraq,,
27-Jan-04,Yasser Khatab,Unknown,Iraq,,
30-Oct-03,Nabil Hussein,Unknown,Iraq,,
30-Oct-03,Alahin Hussein,Unknown,Iraq,,
30-Oct-03,Ali Adnan,Unknown,Iraq,,
30-Oct-03,Ramziya Moushee,Unknown,Iraq,,
30-Oct-03,Hassan Alwan,Unknown,Iraq,,
6-Apr-03,Kamaran Abdurazaq Muhamed,Unknown,Iraq,,
22-Mar-03,Hussein Othman,Unknown,Iraq,,
13-Aug-16,Widad Hussein,Unknown,Iraq,,
20-May-16,Alaa Qassem Mohan,Unknown,Iraq,,
18-Mar-15,Abdel Karim al-Khaiwani,Unknown,Yemen,,
2-Jan-15,Fayez Abu Halawa,Unknown,Syria,,
2-Jan-15,Dirar al-Jahad,Unknown,Syria,,
10-Oct-14,Raed Al-Azzawi,Unknown,Iraq,,
3-Oct-14,Marwan Shahadat,Unknown,Syria,,
16-Aug-14,Abdul Rahman Hamid al-Din,Unknown,Yemen,,
14-Apr-14,Hamza Hajj Hassan,Unknown,Syria,,
8-Nov-13,Abdullah Sobhi al-Ghazawi,Unknown,Syria,,
24-Jan-13,Mohamed Abd Al-Rahman,Unknown,Syria,,
22-Dec-12,Haidar Alsamoudi,Unknown,Syria,,
17-Nov-12,Samir al-Sheikh Ali,Unknown,Iraq,,
11-Aug-12,Bara'a Yusuf al-Bushi,Unknown,Syria,,
31-Jul-12,Ghazwan Anas,Unknown,Iraq,,
14-Jul-12,Falah Taha,Unknown,Syria,,
14-Jul-12,Ali Juburi al-Kaabi,Unknown,Syria,,
2-Apr-12,Kamiran Salaheddin,Unknown,Iraq,,
3-Jan-12,Shukri Abu al-Burghul,Unknown,Syria,,
8-Apr-11,Taha Hameed,Unknown,Iraq,,
17-Feb-11,Hilal al-Ahmadi,Unknown,Iraq,,
21-Nov-10,Mazen Mardan al-Baghdadi,Unknown,Iraq,,
4-Apr-10,Metin Alata?,Unknown,Turkey,,
10-Oct-08,Dyar Abas Ahmed,Unknown,Iraq,,
13-Mar-08,Qassim Abdul Hussein al-Iqabi,Unknown,Iraq,,
12-Feb-08,Hisham Mijawet Hamdan,Unknown,Iraq,,
15-Dec-07,"Ali Shafeya al-Moussawi,",Unknown,Iraq,,
23-Sep-07,Jawad al-Daami,Unknown,Iraq,,
31-May-07,Saif Fakhry,Unknown,Iraq,,
28-May-07,Mahmoud Hassib al-Qassab,Unknown,Iraq,,
28-May-07,Abdul Rahman al-Issawi,Unknown,Iraq,,
20-May-07,Ali Khalil,Unknown,Iraq,,
16-Mar-07,Hussein al-Jabouri,Unknown,Iraq,,
26-Dec-06,Yasin al-Dulaimi,Unknown,Iraq,,
3-Nov-06,Ahmad al-Rashid,Unknown,Iraq,,
13-Oct-06,Raed Qays,Unknown,Iraq,,
10-Oct-06,Azad Muhammad Hussein,Unknown,Iraq,,
12-Sep-06,Hadi Anawi al-Joubouri,Unknown,Iraq,,
29-Jun-06,Osama Qadir,Unknown,Iraq,,
28-Jun-06,Alaa Hassan,Unknown,Iraq,,
5-May-06,Abdel Majid al-Mehmedawi,Unknown,Iraq,,
9-Feb-05,Abdul-Hussein Khazal,Unknown,Iraq,,
27-Oct-04,Liqaa Abdul Razzak,Unknown,Iraq,,
1-Jun-04,Sahar Saad Eddine al-Nuaimi ,Unknown,Iraq,,
20-Mar-01,Hidaya Sultan al-Salem,Unknown,Kuwait,,
28-Oct-00,Aziz Al-Tineh,Unknown,Israel and the OPT,,
24-Nov-98,Majid Sharif,Unknown,Iran,,
17-Sep-94,Labib Ibrahim,Unknown,Egypt,,
10-Nov-92,Yasar Aktay,Unknown,Turkey,,
2-Jun-92,Mecit Akgun,Unknown,Turkey,,
