date,name,sex,country_killed,medium,freelance,local_foreign
November 24 2013,Mohamed Yamen Naddaf,male,Syria,Internet,No,local
November 24 2013,Alaa Edward Butros,male,Iraq,Television,Yes,local
November 19 2013,Mohamed Ahmed Taysir Bellou,male,Syria,Internet,No,local
November 18 2013,Saleh Ayyad Hafyana,male,Libya,Internet,No,local
November 2 2013,Claude Verlon,male,Mali,Radio,No,foreign
November 2 2013,Ghislaine Dupont,female,Mali,Radio,No,foreign
October 29 2013,Mohammad Saeed,male,Syria,Television,No,local
October 26 2013,Mohamed Mohamud,male,Somalia,Television,No,local
October 24 2013,Bashar al-Nuaimi,male,Iraq,Television,No,local
October 11 2013,Ayub Khattak,male,Pakistan,Print,No,local
October 5 2013,Mohammed Ghanem,male,Iraq,Television,No,local
October 5 2013,Mohammed Karim al-Badrani,male,Iraq,Television,No,local
September 29 2013,Nour al-Din Al-Hafiri,male,Syria,Television Internet,Yes,local
September 11 2013,̉dison Alberto Molina,male,Colombia,Radio,No,local
September 7 2013,Rajesh Verma,male,India,Television,No,local
September 5 2013,Abdel Aziz Mahmoud Hasoun,male,Syria,Internet,No,local
August 29 2013,Fernando Solijon,male,Philippines,Radio,No,local
August 23 2013,Rakesh Sharma,male,India,Print,No,local
August 20 2013,Narendra Dabholkar,male,India,Print,No,local
August 20 2013,Muhammad Hassan Al-Musalama,male,Syria,Internet,Yes,local
August 19 2013,Tamer Abdel Raouf,male,Egypt,Print,No,local
August 16 2013,Shahir al-Muaddamani,male,Syria,Internet,Yes,local
August 14 2013,Mosaab al-Shami,male,Egypt,Internet,No,local
August 14 2013,Ahmed Abdel Gawad,male,Egypt,Print Television,No,local
August 14 2013,Mick Deane,male,Egypt,Television,No,foreign
August 14 2013,Habiba Ahmed Abd Elaziz,female,Egypt,Television,Yes,local
August 1 2013,Mario Sy,male,Philippines,Print,Yes,local
July 27 2013,Muhammed Tariq Jadua,male,Syria,Television Internet,Yes,local
July 9 2013,Akhmednabi Akhmednabiyev,male,Russia,Internet,No,local
July 8 2013,Ahmed Assem el-Senousy,male,Egypt,Print Internet,No,local
July 7 2013,Liban Abdullahi Farah,male,Somalia,Television,No,local
July 5 2013,Fidaa al-Baali,male,Syria,Television,No,local
June 29 2013,Salah al-Din Hassan,male,Egypt,Internet,No,local
June 11 2013,Jos̩ Roberto Ornelas de Lemos,male,Brazil,Print,No,local
May 27 2013,Yara Abbas,female,Syria,Television,No,local
April 24 2013,Youssef Younis,male,Syria,Internet,Yes,local
April 21 2013,Mohamed Ibrahim Raage,male,Somalia,Radio Television,No,local
April 16 2013,Aslam Durrani,male,Pakistan,Print,No,local
April 14 2013,Walgney Assis Carvalho,male,Brazil,Print,Yes,local
April 8 2013,Mikhail Beketov,male,Russia,Print,No,local
March 29 2013,Amer Diab,male,Syria,Internet,Yes,local
March 14 2013,Mahmoud Natouf,male,Syria,Internet,No,local
March 10 2013,Ghaith Abd al-Jawad,male,Syria,Internet,Yes,local
March 10 2013,Amr Badir al-Deen Junaid,male,Syria,Internet,Yes,local
March 8 2013,Rodrigo Neto,male,Brazil,Print Radio,No,local
March 3 2013,Walid Jamil Amira,male,Syria,Internet,Yes,local
February 24 2013,Olivier Voisin,male,Syria,Print Internet,Yes,foreign
February 22 2013,Mafaldo Bezerra Goes,male,Brazil,Radio,No,local
February 17 2013,Mohamed Saeed al-Hamwi,male,Syria,Internet,Yes,local
February 15 2013,Youssef Adel Bakri (Youssef Abu Jad),male,Syria,Internet,No,local
February 15 2013,Ahmed Rajib Haider,male,Bangladesh,Internet,Yes,local
January 31 2013,Loay al-Nimir,male,Syria,Internet,Yes,local
January 31 2013,Issam Obeid,male,Syria,Internet,Yes,local
January 31 2013,Abdel Karim Nazir Ismail,male,Syria,Internet,Yes,local
January 18 2013,Mohamed al-Mesalma,male,Syria,Television,No,local
January 18 2013,Abdihared Osman Aden,male,Somalia,Radio Television,Yes,local
January 17 2013,Yves Debay,male,Syria,Internet,No,foreign
January 13 2013,Bassem Fawaz al-Zabi,male,Syria,Internet,Yes,local
January 10 2013,Mirza Iqbal Hussain,male,Pakistan,Internet,No,local
January 10 2013,Saif ur Rehman,male,Pakistan,Television,No,local
January 10 2013,Imran Shaikh,male,Pakistan,Television,No,local
January 4 2013,Suhail Mahmoud al-Ali,male,Syria,Television,No,local
December 23 2012,Dwijamani Singh,male,India,Television,No,local
December 21 2012,Abd al-Karim al-Ezzo,male,Syria,Internet,Yes,local
December 12 2012,Al-Hosseiny Abou Deif,male,Egypt,Print Internet,No,local
December 5 2012,Kazbek Gekkiyev,male,Russia,Television,No,local
December 4 2012,Naji Asaad,male,Syria,Print,No,local
November 28 2012,Mohamed Quratem,male,Syria,Print,No,local
November 27 2012,Guillermo Quiroz Delgado,male,Colombia,Print Television,Yes,local
November 25 2012,Mohamed al-Khal,male,Syria,Television Internet,Yes,local
November 22 2012,Saqib Khan,male,Pakistan,Print Internet,No,local
November 21 2012,Basel Tawfiq Youssef,male,Syria,Television,No,local
November 21 2012,Eduardo Carvalho,male,Brazil,Internet,No,local
November 20 2012,Hussam Salama,male,Israel and the Occupied Palestinian Territory,Television,No,local
November 20 2012,Mahmoud al-Kumi,male,Israel and the Occupied Palestinian Territory,Television,No,local
November 19 2012,Hozan Abdel Halim Mahmoud,male,Syria,Internet,Yes,local
November 18 2012,Rehmatullah Abid,male,Pakistan,Print Television,No,local
November 14 2012,Adri��n Silva Moreno,male,Mexico,Print,Yes,local
November 9 2012,Ayham Mostafa Ghazzoul,male,Syria,Internet,No,local
November 3 2012,Sattar Beheshti,male,Iran,Internet,Yes,local
October 28 2012,Mohamed Mohamud Turyare,male,Somalia,Radio Internet,No,local
October 23 2012,Ahmed Farah Ilyas,male,Somalia,Television,No,local
October 10 2012,Mohammed al-Ashram,male,Syria,Television,No,local
October 7 2012,Mushtaq Khand,male,Pakistan,Print Television,No,local
October 3 2012,Mona al-Bakkour,female,Syria,Print Internet,No,local
September 29 2012,Abdul Haq Baloch,male,Pakistan,Television,No,local
September 26 2012,Maya Naser,male,Syria,Television,No,local
September 21 2012,Hassan Yusuf Absuge,male,Somalia,Radio,No,local
September 20 2012,Liban Ali Nur,male,Somalia,Television,No,local
September 20 2012,Abdisatar Daher Sabriye,male,Somalia,Radio,No,local
September 20 2012,Abdirahman Yasin Ali,male,Somalia,Radio,No,local
September 19 2012,Abdel Karim al-Oqda,male,Syria,Internet,No,local
September 16 2012,Yusuf Ahmed Deeb,male,Syria,Print,No,local
September 11 2012,Hang Serei Odom,male,Cambodia,Print,No,local
September 9 2012,Tamer al-Awam,male,Syria,Television,Yes,local
September 2 2012,Daudi Mwangosi,male,Tanzania,Television,No,local
August 22 2012,Mosaab al-Obdaallah,male,Syria,Print Internet,Yes,local
August 20 2012,Mika Yamamoto,female,Syria,Television Internet,No,foreign
August 11 2012,Ali Abbas,male,Syria,Television Internet,No,local
August 10 2012,Hatem Abu Yehia,male,Syria,Television,No,local
July 12 2012,Ihsan al-Buni,male,Syria,Print Internet,No,local
July 5 2012,Val̩rio Luiz de Oliveira,male,Brazil,Radio,No,local
July 1 2012,Byron Balde�_n,male,Ecuador,Print,Yes,local
June 27 2012,Mohammad Shamma,male,Syria,Television,No,local
June 27 2012,Sami Abu Amin,male,Syria,Television,No,local
June 15 2012,Jamal Uddin,male,Bangladesh,Print,No,local
May 28 2012,Abdul Qadir Hajizai,male,Pakistan,Television,Yes,local
May 28 2012,Ahmed al-Assam,male,Syria,Internet,Yes,local
May 28 2012,Bassel al-Shahade,male,Syria,Internet,Yes,local
May 27 2012,Ahmed Adnan al-Ashlaq,male,Syria,Internet,No,local
May 27 2012,Lawrence Fahmy al-Naimi,male,Syria,Internet,No,local
May 27 2012,Ammar Mohamed Suhail Zado,male,Syria,Internet,No,local
May 24 2012,Ahmed Addow Anshur,male,Somalia,Radio,No,local
May 19 2012,Razzaq Gul,male,Pakistan,Television,No,local
May 2 2012,Farhan Jeemis Abdulle,male,Somalia,Radio,No,local
April 28 2012,Regina Mart�_nez P̩rez,male,Mexico,Print,No,local
April 23 2012,D̩cio S��,male,Brazil,Print Internet,No,local
April 9 2012,Ali Shaaban,male,Lebanon,Television,No,local
April 8 2012,Leiron Kogoya,male,Indonesia,Print Internet,No,local
April 5 2012,Mahad Salad Adan,male,Somalia,Radio Internet,Yes,local
March 31 2012,Ahmed Ismail Hassan,male,Bahrain,Internet,Yes,local
March 4 2012,Ali Ahmed Abdi,male,Somalia,Radio Internet,Yes,local
March 1 2012,Rajesh Mishra,male,India,Print,No,local
February 28 2012,Abukar Hassan Mohamoud,male,Somalia,Radio,No,local
February 24 2012,Anas al-Tarsha,male,Syria,Internet,Yes,local
February 22 2012,R̩mi Ochlik,male,Syria,Print,Yes,foreign
February 22 2012,Marie Colvin,female,Syria,Print,No,foreign
February 21 2012,Rami al-Sayed,male,Syria,Internet,Yes,local
February 9 2012,Mario Randolfo Marques Lopes,male,Brazil,Internet,No,local
February 4 2012,Mazhar Tayyara,male,Syria,Television Internet,Yes,local
January 28 2012,Hassan Osman Abdi,male,Somalia,Radio Television,No,local
January 20 2012,Enenche Akogwu,male,Nigeria,Television,No,local
January 17 2012,Mukarram Khan Aatif,male,Pakistan,Radio Television,Yes,local
January 12 2012,"Wisut \""Ae\"" Tangwittayaporn",male,Thailand,Print,No,local
January 11 2012,Gilles Jacquier,male,Syria,Television,No,foreign
January 5 2012,Christopher Guarin,male,Philippines,Print Radio,No,local
December 27 2011,Basil al-Sayed,male,Syria,Internet,Yes,local
December 18 2011,Abdisalan Sheikh Hassan,male,Somalia,Radio Television,Yes,local
December 15 2011,Gadzhimurad Kamalov,male,Russia,Print,No,local
November 23 2011,Rafiq Tagi,male,Azerbaijan,Internet,Yes,local
November 6 2011,Gelson Domingos da Silva,male,Brazil,Television,No,local
November 6 2011,Dar�_o Fern��ndez Ja̩n,male,Panama,Radio,No,local
October 22 2011,Zakariya Isa,male,Nigeria,Television,No,local
October 9 2011,Wael Mikhael,male,Egypt,Television,Yes,local
October 7 2011,Faisal Qureshi,male,Pakistan,Internet,No,local
September 24 2011,Maria Elizabeth Mac�_as Castro,female,Mexico,Internet,Yes,local
September 24 2011,Phamon Phonphanit,male,Thailand,Print,No,local
September 24 2011,Hassan al-Wadhaf,male,Yemen,Television,Yes,local
September 20 2011,Farhad Taqaddosi,male,Afghanistan,Television,No,foreign
September 8 2011,Hadi al-Mahdi,male,Iraq,Radio,Yes,local
September 8 2011,Pedro Alfonso Flores Silva,male,Peru,Television,Yes,local
September 2 2011,Noramfaizul Mohd,male,Somalia,Television,No,foreign
August 2 2011,Jos̩ Agust�_n Silvestre de los Santos,male,Dominican Republic,Print Television,No,local
July 28 2011,Ahmad Omaid Khpalwak,male,Afghanistan,Print Television,No,local
June 21 2011,Alwan al-Ghorabi,male,Iraq,Television,No,local
June 17 2011,Shafiullah Khan,male,Pakistan,Print,No,local
June 15 2011,Edinaldo Filgueira,male,Brazil,Print,No,local
June 13 2011,Romeo Olea,male,Philippines,Radio,No,local
June 11 2011,Asfandyar Khan,male,Pakistan,Print,No,local
May 10 2011,Nasrullah Khan Afridi,male,Pakistan,Print Television,Yes,local
May 8 2011,Sylvain Gagnetau Lago,male,Ivory Coast,Television,No,local
April 25 2011,Alfredo Antonio Hurtado N̼̱ez,male,El Salvador,Television,No,local
April 20 2011,Chris Hondros,male,Libya,Print Internet,No,foreign
April 20 2011,Tim Hetherington,male,Libya,Print Television,Yes,foreign
April 12 2011,Karim Fakhrawi,male,Bahrain,Print,Yes,local
April 9 2011,Zakariya Rashid Hassan al-Ashiri,male,Bahrain,Internet,Yes,local
April 9 2011,Luciano Leiṭo Pedrosa,male,Brazil,Radio Television,No,local
April 5 2011,Anton Hammerl,male,Libya,Print,Yes,foreign
March 29 2011,Sabah al-Bazi,male,Iraq,Television,No,local
March 29 2011,Muammar Khadir Abdelwahad,male,Iraq,Print,No,local
March 25 2011,Luis Emanuel Ruiz Carrillo,male,Mexico,Print,No,local
March 19 2011,Mohammed al-Nabbous,male,Libya,Internet,Yes,local
March 18 2011,Jamal al-Sharaabi,male,Yemen,Print,No,local
March 13 2011,Ali Hassan al-Jaber,male,Libya,Television,No,foreign
February 24 2011,Mohamed al-Hamdani,male,Iraq,Television,No,local
February 4 2011,Ahmad Mohamed Mahmoud,male,Egypt,Print,No,local
January 24 2011,Gerardo Ortega,male,Philippines,Radio,No,local
January 23 2011,Umesh Rajput,male,India,Print,No,local
January 17 2011,Lucas Mebrouk Dolega,male,Tunisia,Print Internet,No,foreign
January 13 2011,Wali Khan Babar,male,Pakistan,Television,No,local
December 17 2010,Alfrets Mirulewan,male,Indonesia,Print,No,local
December 12 2010,Omar Rasim al-Qaysi,male,Iraq,Television,No,local
December 6 2010,Pervez Khan,male,Pakistan,Television,No,local
December 6 2010,Abdul Wahab,male,Pakistan,Television,No,local
November 5 2010,Carlos Alberto Guajardo Romero,male,Mexico,Print,No,local
October 18 2010,Francisco Gomes de Medeiros,male,Brazil,Radio Internet,No,local
October 4 2010,Tahrir Kadhim Jawad,male,Iraq,Television,Yes,local
September 16 2010,Luis Carlos Santiago,male,Mexico,Print,No,local
September 14 2010,Misri Khan,male,Pakistan,Print,Yes,local
September 11 2010,Paul Kiggundu,male,Uganda,Radio Television,Yes,local
September 8 2010,Safa al-Din Abdel Hamid,male,Iraq,Television,No,local
September 7 2010,Riad al-Saray,male,Iraq,Television,No,local
September 6 2010,Ejaz Raisani,male,Pakistan,Television,No,local
September 5 2010,Alberto Graves Chakussanga,male,Angola,Radio,No,local
September 3 2010,Aleh Byabenin,male,Belarus,Internet,No,local
August 24 2010,Barkhat Awale,male,Somalia,Radio,No,local
August 21 2010,Ridwan Salamun,male,Indonesia,Television,Yes,local
August 3 2010,Assaf Abu Rahal,male,Lebanon,Print,No,local
July 30 2010,Ardiansyah Matra'is,male,Indonesia,Television,No,local
July 20 2010,Vijay Pratap Singh,male,India,Print,No,local
July 19 2010,Sokratis Giolias,male,Greece,Radio Internet,No,local
June 26 2010,Jean-L̩onard Rugambage,male,Rwanda,Print Internet,No,local
June 24 2010,James P. Hunter,male,Afghanistan,Print,No,foreign
June 16 2010,Joselito Agustin,male,Philippines,Radio,No,local
June 14 2010,Desidario Camangyan,male,Philippines,Radio,Yes,local
May 28 2010,Ejazul Haq,male,Pakistan,Television,No,local
May 19 2010,Fabio Polenghi,male,Thailand,Print,Yes,foreign
May 5 2010,Sardasht Osman,male,Iraq,Print Internet,Yes,local
May 4 2010,Sheikh Nur Mohamed Abkey,male,Somalia,Radio,No,local
April 24 2010,Sunday Gyang Bwede,male,Nigeria,Print,No,local
April 24 2010,Nathan S. Dabak,male,Nigeria,Print,No,local
April 22 2010,Germain Cyrille Ngota Ngota,male,Cameroon,Print,No,local
April 17 2010,Azamat Ali Bangash,male,Pakistan,Television,No,local
April 16 2010,Malik Arif,male,Pakistan,Television,No,local
April 10 2010,Hiro Muramoto,male,Thailand,Television Internet,No,foreign
March 19 2010,Clodomiro Castilla Ospino,male,Colombia,Print,No,local
March 14 2010,Nah̼m Palacios Arteaga,male,Honduras,Television,No,local
March 11 2010,David Meza Montesinos,male,Honduras,Radio Television,No,local
March 1 2010,Joseph Hern��ndez Ochoa,male,Honduras,Television,Yes,local
February 13 2010,Muhammad al-Rabou'e,male,Yemen,Print,No,local
January 10 2010,Rupert Hamer,male,Afghanistan,Print,No,foreign
January 9 2010,Stanislas Ocloo,male,Angola,Television,Yes,foreign
January 8 2010,Valent�_n Vald̩s Espinosa,male,Mexico,Print,No,local
December 30 2009,Michelle Lang,female,Afghanistan,Print,No,foreign
December 22 2009,Gennady Pavlyuk (Ibragim Rustambek),male,Kazakhstan,Print,No,foreign
December 19 2009,Cihan Hay��rsevener,male,Turkey,Print,No,local
December 3 2009,Abdulkhafar Abdulkadir,male,Somalia,Print,Yes,local
December 3 2009,Mohamed Amin,male,Somalia,Radio,No,local
December 3 2009,Hassan Zubeyr,male,Somalia,Television,No,local
November 23 2009,Henry Araneta,male,Philippines,Radio,No,local
November 23 2009,Mark Gilbert Arriola,male,Philippines,Television,No,local
November 23 2009,Rubello Bataluna,male,Philippines,Print,No,local
November 23 2009,Arturo Betia,male,Philippines,Print,No,local
November 23 2009,Romeo Jimmy Cabillo,male,Philippines,Print,No,local
November 23 2009,Marites Cablitas,female,Philippines,Print Radio,No,local
November 23 2009,Hannibal Cachuela,male,Philippines,Print,No,local
November 23 2009,Jepon Cadagdagon,male,Philippines,Print,No,local
November 23 2009,John Caniban,male,Philippines,Print,No,local
November 23 2009,Lea Dalmacio,female,Philippines,Print,No,local
November 23 2009,Noel Decina,male,Philippines,Print,No,local
November 23 2009,Gina Dela Cruz,female,Philippines,Print,Yes,local
November 23 2009,Jhoy Duhay,male,Philippines,Print,No,local
November 23 2009,Jolito Evardo,male,Philippines,Television,No,local
November 23 2009,Santos Gatchalian,male,Philippines,Radio,No,local
November 23 2009,Bienvenido Legarte Jr.,male,Philippines,Print,No,local
November 23 2009,Lindo Lupogan,male,Philippines,Print,No,local
November 23 2009,Ernesto Maravilla,male,Philippines,Radio,No,local
November 23 2009,Rey Merisco,male,Philippines,Print,No,local
November 23 2009,Reynaldo Momay,male,Philippines,Print,No,local
November 23 2009,Marife ���Neneng��� Monta̱o,female,Philippines,Radio,No,local
November 23 2009,Rosell Morales,male,Philippines,Print,No,local
November 23 2009,Victor Nu̱ez,male,Philippines,Television,No,local
November 23 2009,Ronnie Perante,male,Philippines,Print,No,local
November 23 2009,Joel Parcon,male,Philippines,Print,No,local
November 23 2009,Fernando Razon,male,Philippines,Print,No,local
November 23 2009,Alejandro Reblando,male,Philippines,Print,No,local
November 23 2009,Napoleon Salaysay,male,Philippines,Print,No,local
November 23 2009,Ian Subang,male,Philippines,Print,No,local
November 23 2009,Andres Teodoro,male,Philippines,Print,No,local
November 2 2009,Bladimir Antuna Garc�_a,male,Mexico,Print,No,local
October 21 2009,Orhan Hijran,male,Iraq,Television,No,local
September 23 2009,Norberto Miranda Madrid,male,Mexico,Internet,No,local
September 20 2009,Bayo Ohu,male,Nigeria,Print,No,local
September 9 2009,Sultan Mohammed Munadi,male,Afghanistan,Print,Yes,local
August 24 2009,Janullah Hashimzada,male,Pakistan,Television,Yes,foreign
August 17 2009,Novruzali Mamedov,male,Azerbaijan,Print,No,local
August 11 2009,Abdulmalik Akhmedilov,male,Russia,Print,No,local
July 15 2009,Natalya Estemirova,female,Russia,Print,Yes,local
July 4 2009,Mohamud Mohamed Yusuf,male,Somalia,Radio,No,local
June 9 2009,Crispin Perez,male,Philippines,Radio,No,local
June 8 2009,Mukhtar Mohamed Hirabe,male,Somalia,Radio,No,local
June 3 2009,Jojo Trajano,male,Philippines,Print,No,local
May 31 2009,Alaa Abdel-Wahab,male,Iraq,Television,No,local
May 26 2009,Nur Muse Hussein,male,Somalia,Radio,No,local
May 25 2009,Eliseo Barr�_n Hern��ndez,male,Mexico,Print,No,local
May 22 2009,Abdirisak Mohamed Warsame,male,Somalia,Radio,No,local
April 29 2009,Jos̩ Everardo Aguilar,male,Colombia,Radio,No,local
March 24 2009,Anil Mazumdar,male,India,Print,No,local
March 18 2009,Omidreza Mirsayafi,male,Iran,Internet,Yes,local
March 10 2009,Suhaib Adnan,male,Iraq,Television,No,local
March 10 2009,Haidar Hashim Suhail,male,Iraq,Television,No,local
